epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
1	0.0	-1.0246	-1.05	19.46	6.0	999	-0.7066766	0.026937239	47.3764240742	0.045569047
2	0.2	-0.8026924	-0.96099997	19.73077	37.1	1999	-1.2741783	0.024991555	103.275213957	0.045906425
3	0.4	-1.0283673	-0.305	20.163265	11.5	2999	-2.4031916	0.063172504	151.896774054	0.045047745
4	0.2	-0.94745106	-0.6279999	19.27451	3.8	3999	-3.4967415	0.09753734	198.844434023	0.04556034
5	0.3	-0.8460466	-0.42699996	22.813953	3.7	4999	-4.144744	0.14612573	245.521376133	0.045426715
6	0.2	-0.8316667	-0.62799996	21.666666	3.8	5999	-4.202303	0.17318629	292.488388062	0.045773607
7	0.0	-0.749804	-1.0	19.117647	100.0	6999	-3.8930533	0.16387308	367.361011982	0.04603292
8	0.0	-0.8862222	-1.0	22.933332	100.0	7999	-3.860842	0.15108474	443.137758017	0.045838058
9	0.0	-0.96510655	-1.0	20.893618	100.0	8999	-4.190132	0.18979031	519.288444042	0.04625774
10	0.0	-1.012619	-1.0	23.666666	100.0	9999	-4.6692004	0.2787646	591.888029099	0.04523305
11	0.0	-1.00875	-1.0	63.75	100.0	10999	-5.162188	0.30619	684.38520813	0.053701196
12	0.0	-0.90699995	-1.0	90.7	100.0	11999	-5.1497326	0.29450536	767.416483164	0.053980567
13	0.0	-1.02	-1.0	93.0	100.0	12999	-5.094311	0.22624329	853.543298006	0.047990806
14	0.0	-0.99818176	-1.0	90.818184	100.0	13999	-5.1077166	0.20184988	941.311318159	0.054586437
15	0.0	-1.0346154	-1.0	80.61539	100.0	14999	-4.810203	0.1627858	1015.40208316	0.04740415
16	0.0	-0.98954546	-1.0599998	44.954544	7.0	15999	-4.2773824	0.13313118	1062.93537807	0.04500076
17	0.0	-1.04	-1.0	94.1	100.0	16999	-3.6789238	0.09248015	1133.08371997	0.04443657
18	0.0	-1.0163636	-1.03	92.63636	93.1	17999	-3.1652334	0.06231399	1203.17148805	0.046518352
19	0.0	-0.89928573	-1.0	75.92857	100.0	18999	-2.7165082	0.053351264	1277.52124405	0.047657244
20	0.0	-0.91800004	-1.0	91.8	100.0	19999	-2.5359883	0.046532705	1358.94274497	0.04842144
21	0.0	-1.0	-1.0	100.0	100.0	20999	-2.6324272	0.045741703	1443.06315398	0.05162946
22	0.0	-1.0	-1.0	100.0	100.0	21999	-2.5891068	0.04550695	1524.27307701	0.050532304
23	0.0	-0.68711865	-1.0	17.033897	100.0	22999	-2.4046566	0.047966078	1606.44928312	0.050952468
24	0.0	-1.02	-1.0	93.0	100.0	23999	-2.1950767	0.037906	1691.49306512	0.052352805
25	0.0	-0.972	-1.0	97.2	100.0	24999	-2.0982428	0.035120092	1783.05253005	0.053560324
26	0.0	-1.0	-1.0	100.0	100.0	25999	-1.9816076	0.025922257	1861.11674094	0.05182343
27	0.0	-1.115	-1.0	86.75	100.0	26999	-1.7601476	0.022148142	1929.31035495	0.043894097
28	0.0	-0.9654545	-1.0239999	87.545456	23.2	27999	-1.506645	0.018305523	1978.99474096	0.043738145
29	0.0	-1.005	-1.0	84.0	100.0	28999	-1.2975553	0.016089883	2053.10995507	0.047095444
30	0.0	-1.0914285	-1.0	73.78571	100.0	29999	-1.1595556	0.012625327	2128.09078813	0.04779189
31	0.0	-0.9791667	-1.0	81.416664	100.0	30999	-0.98614234	0.012663766	2206.11618614	0.04809831
32	0.0	-0.978	-1.0	97.8	100.0	31999	-0.86502755	0.010492839	2293.93626595	0.052352525
33	0.0	-1.0881819	-1.0	99.818184	100.0	32999	-0.7724761	0.009042439	2376.05799794	0.050871167
34	0.0	-0.92272735	-1.01	83.27273	91.1	33999	-0.6551397	0.0073840995	2457.32020998	0.050697803
35	0.0	-1.0153846	-1.0	78.69231	100.0	34999	-0.53705114	0.007196023	2543.31765008	0.051043298
36	0.4	-0.89799994	-0.491	70.13333	59.8	35999	-0.4514484	0.0066455747	2613.82149196	0.051296443
37	0.1	-0.22266665	-0.804	33.1	90.5	36999	-0.36143494	0.0076124608	2697.54182506	0.053274963
38	0.2	-0.61033326	-0.65099996	16.916666	6.1	37999	-0.27989057	0.007956182	2746.15157509	0.04681895
39	0.1	-0.71785706	-1.039	10.833333	24.9	38999	-0.20466822	0.0134571465	2800.47918797	0.047314286
40	0.2	-0.7492308	-0.74	83.0	94.2	39999	-0.16154322	0.011021108	2870.38612008	0.045513388
