epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
1	0.1	0.055555556	0.1	18.12963	90.1	999	-2.3397484	0.3168208	75.9155929089	0.04810695
2	0.0	0.05882353	0.0	19.19608	23.4	1999	-5.590836	0.54119664	132.55158186	0.047902
3	0.1	0.08510638	0.1	21.93617	90.1	2999	-9.208455	1.2703102	206.123905897	0.04796401
4	0.2	0.045454547	0.2	22.954546	25.8	3999	-13.136049	2.3993526	262.111938953	0.04777791
5	0.1	0.020408163	0.1	20.285715	17.1	4999	-16.385422	3.243669	315.35044384	0.047883257
6	0.0	0.046511628	0.0	23.04651	100.0	5999	-18.873108	4.175911	403.080469847	0.049073897
7	0.1	0.11764706	0.1	19.705883	90.1	6999	-20.891285	4.417567	484.72546792	0.048057433
8	0.0	0.040816326	0.0	20.591837	100.0	7999	-22.769684	5.4130173	566.209027052	0.047889113
9	0.1	0.06818182	0.1	22.59091	90.1	8999	-22.96016	5.4073095	643.04280901	0.047748093
10	0.1	0.083333336	0.1	21.0	90.1	9999	-22.604942	4.7470593	720.155603886	0.04789716
11	0.0	0.0	0.0	90.1	100.0	10999	-22.690876	4.324723	800.849344015	0.052278932
12	0.1	0.0	0.1	94.0	90.1	11999	-21.820892	3.3296568	876.500453949	0.049520567
13	0.0	0.0	0.0	96.6	100.0	12999	-20.005272	2.50479	953.272644043	0.04944084
14	0.1	0.0	0.1	100.0	90.1	13999	-17.569803	1.9022424	1040.88374591	0.054145746
15	0.0	0.09090909	0.0	91.0	100.0	14999	-15.552352	1.4598818	1131.48476696	0.054592256
16	0.2	0.0	0.2	99.9	80.2	15999	-13.925419	1.3519354	1208.14663696	0.05139741
17	0.0	0.1	0.0	100.0	100.0	16999	-12.415031	1.4396245	1292.28870583	0.051898453
18	0.0	0.09090909	0.0	91.0	75.0	17999	-11.393125	1.2957039	1370.12102294	0.054312315
19	0.0	0.071428575	0.0	74.35714	100.0	18999	-10.383074	1.1886812	1462.67660999	0.054795004
20	0.1	0.0	0.1	95.8	90.1	19999	-9.582722	0.9192553	1554.42184997	0.058599297
21	0.0	0.09090909	0.0	91.0	100.0	20999	-9.204838	0.8426951	1650.57032394	0.058642976
22	0.0	0.0	0.0	83.916664	90.8	21999	-8.9371195	0.7908696	1731.99176693	0.05207463
23	0.1	0.04	0.1	42.6	26.0	22999	-8.875041	0.726679	1795.86156487	0.05498091
24	0.0	0.0	0.0	68.42857	100.0	23999	-8.694721	0.7293594	1884.74357891	0.05521917
25	0.1	0.09090909	0.1	88.181816	90.1	24999	-8.607352	0.67370456	1971.12067199	0.05431276
26	0.0	0.0	0.0	99.9	93.7	25999	-8.542403	0.6709521	2054.75179386	0.05467323
27	0.0	0.0	0.0	100.0	92.1	26999	-8.475562	0.6659405	2137.30590796	0.053947862
28	0.0	0.09090909	0.0	91.0	100.0	27999	-8.265584	0.62532264	2217.62229896	0.051368244
29	0.0	0.0	0.0	99.9	100.0	28999	-8.086452	0.6203843	2297.56648588	0.050781935
30	0.0	0.0	0.0	100.0	100.0	29999	-8.089322	0.5970177	2377.38528895	0.049916055
31	0.0	0.0	0.0	100.0	100.0	30999	-8.114834	0.5973823	2459.45654988	0.051304735
32	0.1	0.09090909	0.1	91.0	90.1	31999	-8.05942	0.59057635	2537.75466204	0.049761176
33	0.2	0.0	0.2	99.9	80.2	32999	-7.899628	0.5781398	2618.70391488	0.054667298
34	0.0	0.0	0.0	100.0	100.0	33999	-7.702668	0.551032	2702.41070294	0.05383246
35	0.1	0.0	0.1	100.0	90.1	34999	-7.434692	0.5238604	2784.56166101	0.052116822
36	0.1	0.0	0.1	100.0	90.1	35999	-7.306786	0.49962616	2869.61478686	0.054582868
37	0.1	0.09090909	0.1	91.0	90.1	36999	-7.3986073	0.5022782	2951.43966985	0.05272612
38	0.1	0.09090909	0.1	90.90909	71.3	37999	-7.413371	0.50654393	3028.5662899	0.05361526
39	0.0	0.09090909	0.0	90.90909	100.0	38999	-7.4047894	0.5402223	3110.90349483	0.05161323
40	0.1	0.0	0.1	91.36364	86.3	39999	-7.4021754	0.57749903	3185.86958194	0.050259598
41	0.0	0.0	0.0	96.818184	74.5	40999	-7.501378	0.5566676	3255.73258686	0.04896373
42	0.1	0.09090909	0.1	84.545456	90.1	41999	-7.516496	0.51512104	3331.95581985	0.049707983
43	0.2	0.0	0.2	99.9	80.2	42999	-7.580213	0.5005866	3409.05446386	0.051148616
44	0.0	0.09090909	0.0	91.0	100.0	43999	-7.577188	0.51265603	3487.002666	0.050628874
45	0.1	0.0	0.1	99.9	90.1	44999	-7.514134	0.5203124	3561.00371885	0.049727105
46	0.1	0.0	0.1	100.0	90.1	45999	-7.4067726	0.5195158	3636.35145283	0.049915813
47	0.0	0.09090909	0.0	91.0	100.0	46999	-7.3143487	0.4862983	3719.424721	0.05174604
48	0.0	0.07692308	0.0	78.38461	82.8	47999	-7.2923574	0.4751598	3796.74240685	0.05346654
49	0.2	0.23076923	0.2	75.61539	80.2	48999	-7.2963643	0.4726916	3872.81932402	0.051203273
50	0.0	0.0	0.0	99.7	100.0	49999	-7.281517	0.4792323	3950.89615488	0.050123833
51	0.0	0.09090909	0.0	91.0	100.0	50999	-7.264619	0.4551925	4031.36573505	0.05150525
52	0.1	0.09090909	0.1	90.90909	75.0	51999	-7.131584	0.44023767	4107.73093891	0.05153972
53	0.1	0.0	0.1	99.9	90.1	52999	-6.954162	0.44142738	4186.75331497	0.05285148
54	0.0	0.0	0.0	100.0	100.0	53999	-6.781305	0.42078665	4267.76013684	0.050894942
55	0.2	0.09090909	0.2	91.0	80.2	54999	-6.5570097	0.4197354	4343.59519792	0.051866017
