Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.09118541	0.28787258	1.0	0.0	0.0	0.0	0.0	0.0	45.531914	50.0	14999	17.84279	8.679409	46.547237	-3.6871564	17.840712	8.669352	48.064453	-9.483339	-2.516181	0.707081	7.7757273	-10.855045	-18.263931	1.9006599	135.02250146865845
2	0.08588957	0.28020093	1.0	0.0	0.1	0.29999998	1.0	0.0	45.92638	45.1	29999	24.090784	10.149734	44.25824	-7.7317305	24.089588	10.139433	43.741608	-15.444947	-2.6319916	0.49919254	6.106641	-11.003489	-24.385693	2.1881206	280.6384062767029
3	0.05362776	0.22528166	1.0	0.0	0.1	0.29999998	1.0	0.0	47.37224	45.1	44999	24.089102	9.770142	41.50283	-10.287503	24.089035	9.764387	39.18712	-12.320597	-2.6355784	0.51286334	7.129477	-10.011994	-24.40478	2.0801528	427.54047536849976
4	0.09726444	0.29631752	1.0	0.0	0.1	0.29999998	1.0	0.0	45.55015	45.1	59999	24.004948	9.545077	39.815517	-12.0514145	24.004976	9.537728	40.104668	-17.692385	-2.5211	0.74266344	8.754446	-10.926293	-24.350424	1.8675826	576.4081432819366
5	0.1051051	0.3066888	1.0	0.0	0.2	0.4	1.0	0.0	45.084084	40.2	74999	23.70244	9.596377	41.310703	-11.88574	23.70268	9.593196	40.54501	-16.71247	-2.283024	1.0215448	6.6440077	-11.057051	-24.07918	1.917542	726.4036912918091
6	0.05362776	0.22528164	1.0	0.0	0.0	0.0	0.0	0.0	47.388012	50.0	89999	23.72813	9.885186	40.561558	-7.756755	23.728415	9.881719	40.580032	-11.436898	-2.1474953	1.118854	5.246304	-12.975198	-24.129084	1.855064	877.5010488033295
7	0.065625	0.24762543	1.0	0.0	0.0	0.0	0.0	0.0	46.871876	50.0	104999	24.076117	10.132969	42.114716	-6.352413	24.076347	10.129111	42.393753	-7.9580417	-2.0545628	1.1777717	4.54914	-11.620861	-24.497149	1.9111313	1028.199111700058
8	0.10271903	0.30359158	1.0	0.0	0.1	0.29999998	1.0	0.0	45.277946	45.1	119999	23.97931	10.131973	42.58766	-7.600613	23.97957	10.128279	41.553314	-8.725474	-2.0686722	1.1763668	4.539092	-13.217855	-24.398508	1.8847551	1179.0724246501923
9	0.09726444	0.29631752	1.0	0.0	0.0	0.0	0.0	0.0	45.613983	50.0	134999	23.723541	9.993942	41.80064	-5.2813663	23.72389	9.989902	41.10128	-6.238456	-2.1292355	1.1373289	4.3000145	-12.3610325	-24.132587	1.8282883	1330.125289440155
10	0.12012012	0.32510197	1.0	0.0	0.1	0.29999998	1.0	0.0	45.063065	45.3	149999	23.565346	9.857021	40.34212	-5.812255	23.5658	9.852898	40.35312	-5.400779	-2.1754928	1.1096247	4.2644114	-13.885042	-23.97006	1.7552	1481.0428066253662
11	0.15476191	0.36167756	1.0	0.0	0.2	0.4	1.0	0.0	44.63988	40.2	164999	23.39587	9.720069	40.824677	-5.254837	23.39614	9.717263	41.676342	-4.8194914	-2.220394	1.0724708	6.7777185	-11.525435	-23.799534	1.7583789	1631.7269387245178
12	0.18103448	0.38504675	1.0	0.0	0.2	0.4	1.0	0.0	43.060345	42.1	179999	23.349358	9.61825	43.62276	-4.2102656	23.3496	9.616704	40.275482	-5.22526	-2.2543552	1.0512215	4.4707665	-12.688722	-23.753529	1.7871709	1782.8352224826813
13	0.17201166	0.37739056	1.0	0.0	0.3	0.45825756	1.0	0.0	43.75802	35.5	194999	23.21189	9.447396	42.311054	-3.623982	23.212029	9.447277	41.842625	-2.9934025	-2.3154972	0.9988869	4.727844	-12.737756	-23.610523	1.8174691	1933.7808430194855
14	0.21776505	0.41272685	1.0	0.0	0.1	0.29999998	1.0	0.0	43.014328	46.1	209999	23.158197	9.354449	45.023327	-2.8192677	23.158415	9.353939	46.553207	-3.0712633	-2.3456159	0.975654	5.0486813	-11.969709	-23.556795	1.8636111	2084.8361456394196
15	0.23809524	0.4259177	1.0	0.0	0.3	0.45825756	1.0	0.0	41.966385	40.8	224999	23.045792	9.252862	40.834995	-2.5245967	23.045832	9.252638	39.394043	-2.2573674	-2.3580701	0.9661967	5.878695	-13.468267	-23.440895	1.9658134	2235.5525598526
16	0.25072047	0.43342784	1.0	0.0	0.0	0.0	0.0	0.0	43.164265	50.0	239999	23.009727	9.196579	45.04046	-3.4602666	23.00971	9.196891	44.664658	-3.5021346	-2.3458693	0.98105294	5.7697964	-11.144987	-23.408043	2.0710974	2386.4858865737915
17	0.29166666	0.45452967	1.0	0.0	0.1	0.29999998	1.0	0.0	41.691666	46.5	254999	23.089392	9.27051	68.56019	-7.9257927	23.089321	9.271143	69.19298	-5.4060383	-2.3120637	1.0108553	7.0514584	-12.261163	-23.490763	2.2856936	2537.510695695877
18	0.34054053	0.47389096	1.0	0.0	0.2	0.4	1.0	0.0	40.556755	43.3	269999	22.871078	9.091395	39.743378	-5.379177	22.871096	9.091527	39.40965	-8.682195	-2.3436182	0.98926747	5.327746	-12.627757	-23.260267	2.4104118	2688.3704545497894
19	0.3846154	0.48650423	1.0	0.0	0.4	0.48989797	1.0	0.0	39.846153	32.7	284999	22.947329	9.017405	39.295403	-4.9416203	22.947287	9.017187	39.478745	-5.040997	-2.34029	0.99540263	5.414292	-12.891961	-23.334173	2.566324	2838.8336453437805
20	0.51237625	0.49984682	1.0	0.0	0.5	0.5	1.0	0.0	37.05198	34.5	299999	23.002573	8.915872	39.851086	-3.260747	23.00262	8.914742	37.954025	-4.745246	-2.3246694	1.014929	8.66977	-11.581962	-23.387297	2.8349516	2989.1269948482513
21	0.6132723	0.4870004	1.0	0.0	0.3	0.45825756	1.0	0.0	34.389015	35.3	314999	23.012484	8.786027	36.540844	-5.7980337	23.012503	8.78428	35.997185	-4.2253547	-2.2912877	1.0534421	6.0916204	-11.7515135	-23.391909	3.1961527	3139.6246287822723
22	0.68443495	0.46474048	1.0	0.0	0.8	0.4	1.0	0.0	31.987207	24.1	329999	23.006369	8.642498	36.39146	-6.1031218	23.006508	8.640212	37.702778	-3.6145744	-2.2572587	1.0774353	7.170234	-11.46131	-23.376678	3.6305432	3289.665374517441
23	0.7058824	0.4556451	1.0	0.0	0.5	0.5	1.0	0.0	31.52311	28.0	344999	22.941874	8.482131	39.801285	-4.4611826	22.942034	8.480019	40.42732	-7.1753454	-2.2253566	1.1040503	6.8679256	-13.202256	-23.301933	3.987302	3439.352785348892
24	0.75	0.4330127	1.0	0.0	0.8	0.4	1.0	0.0	29.94	22.8	359999	22.81656	8.337585	38.775265	-5.1380076	22.816769	8.334968	37.805984	-6.512212	-2.1998305	1.1238872	7.4849534	-13.343251	-23.162693	4.3724103	3588.686346769333
