Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.057803467	0.23337144	1.0	0.0	0.0	0.0	0.0	0.0	43.34393	300.0	14999	58270230000.0	94818820000.0	591285100000.0	0.016693212	56929595000.0	92219370000.0	575251550000.0	-0.01501102	431.11942	462.4636	2572.6094	-15.629076	-91658730000.0	4.2526503e+21	1504.0786180496216
2	0.04398827	0.205069	1.0	0.0	0.0	0.0	0.0	0.0	43.97654	15.0	29999	1015553060000.0	549551370000.0	3931165000000.0	199143700000.0	974700800000.0	516908500000.0	3660437300000.0	193327300000.0	1980.5739	946.21783	7507.038	285.45895	-1567137300000.0	5.7691435e+23	2908.5351061820984
3	0.038348082	0.19203517	1.0	0.0	0.0	0.0	0.0	0.0	44.23599	13.0	44999	2194721900000.0	793778450000.0	6194531400000.0	980569550000.0	1998112600000.0	694137650000.0	5402419000000.0	919055100000.0	4727.0386	2212.677	14311.6455	907.16693	-3412900200000.0	2.853242e+24	4328.825450181961
4	0.046783626	0.21117508	1.0	0.0	0.0	0.0	0.0	0.0	43.850876	17.3	59999	2958299000000.0	1050576500000.0	7647901000000.0	1392836100000.0	2292442700000.0	769651640000.0	5507537000000.0	1197160800000.0	6791.104	2764.7954	16703.03	1992.2823	-4184079000000.0	4.266185e+24	5786.314864873886
5	0.05232558	0.22268274	1.0	0.0	0.0	0.0	0.0	0.0	43.590115	13.0	74999	3658217200000.0	1258814200000.0	9169591000000.0	1716471500000.0	2307847400000.0	775562500000.0	5555711000000.0	1170375400000.0	6524.833	3364.2773	22648.02	1260.667	-4486268000000.0	4.825115e+24	7349.387479543686
6	0.068571426	0.25272393	1.0	0.0	0.0	0.0	0.0	0.0	42.845715	13.0	89999	4191355700000.0	1391115600000.0	10101293000000.0	1919273400000.0	2320562700000.0	778144000000.0	5614992000000.0	1138113000000.0	6836.829	3122.017	21010.318	1725.6323	-4785172400000.0	5.9169275e+24	8959.614441156387
7	0.057803467	0.23337145	1.0	0.0	0.0	0.0	0.0	0.0	43.34104	13.0	104999	4487669400000.0	1442876900000.0	10606185000000.0	1929759300000.0	2333272400000.0	781549200000.0	5658550700000.0	1006237250000.0	7841.082	3188.8699	18729.14	3638.7556	-5086134700000.0	7.279882e+24	10534.135709524155
8	0.068571426	0.25272393	1.0	0.0	0.0	0.0	0.0	0.0	42.845715	12.3	119999	4762452000000.0	1487133100000.0	11297239000000.0	1965000000000.0	2347504800000.0	785082400000.0	5717543000000.0	878542850000.0	4037.194	2053.9922	13927.503	1068.4938	-5390089000000.0	8.8052195e+24	12085.005844593048
9	0.057803467	0.23337145	1.0	0.0	0.0	0.0	0.0	0.0	43.34104	13.0	134999	5041763600000.0	1532331000000.0	11962772000000.0	1986753100000.0	2360799000000.0	788196700000.0	5776706400000.0	741619900000.0	3472.018	916.2123	6915.6836	1188.1154	-5695122000000.0	1.0501452e+25	13601.081108808517
10	0.065902576	0.24811172	1.0	0.0	0.0	0.0	0.0	0.0	42.968483	13.0	149999	5320691000000.0	1576632600000.0	12598356000000.0	2017968800000.0	2373321500000.0	791484900000.0	5836486000000.0	668850600000.0	4491.9224	1322.4224	9648.9375	823.8439	-6001322000000.0	1.2364133e+25	15134.09194612503
