Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.057803467	0.23337144	1.0	0.0	0.3	0.45825756	1.0	0.0	43.34393	42.8	14999	3.9499774	3.0145035	9.457551	-6.295206	3.9498856	3.012345	9.420971	-6.450764	-6.372647	0.32285264	1581.2968409061432
2	0.05232558	0.22268276	1.0	0.0	0.0	0.0	0.0	0.0	43.59302	225.4	29999	5.413274	4.458337	12.946027	-5.301762	5.413237	4.4582787	12.989508	-5.355419	-10.792818	0.59429216	3235.916314601898
3	0.04398827	0.205069	1.0	0.0	0.0	0.0	0.0	0.0	43.97654	109.2	44999	4.2745385	3.357717	13.730468	-2.4497333	4.274527	3.357863	13.789164	-2.4703212	-9.140622	0.1519197	4850.648234605789
4	0.055072464	0.22812164	1.0	0.0	0.0	0.0	0.0	0.0	43.466667	233.3	59999	2.7565258	2.0939395	10.647276	-2.8602304	2.7565162	2.0941758	10.647869	-3.0074117	-5.1327343	0.0959433	6516.726444721222
5	0.068571426	0.25272393	1.0	0.0	0.0	0.0	0.0	0.0	42.845715	187.6	74999	3.7124481	1.5816925	9.115091	-2.0946991	3.7124774	1.5817571	9.1782875	-2.1987782	-6.116929	0.1101634	8176.402376174927
6	0.055072464	0.22812164	1.0	0.0	0.0	0.0	0.0	0.0	43.466667	264.5	89999	3.8939984	1.1606739	7.722227	-0.18112013	3.8939898	1.1608988	7.7327814	-0.25689375	-5.1754103	0.05743114	9844.467613458633
7	0.04398827	0.205069	1.0	0.0	0.0	0.0	0.0	0.0	43.97654	140.8	104999	2.9107585	1.2450297	6.5638585	-0.12198812	2.910755	1.24495	6.6456337	-0.11391315	-4.2821507	0.06889	11481.957060575485
8	0.05232558	0.22268274	1.0	0.0	0.0	0.0	0.0	0.0	43.68314	142.6	119999	2.278175	1.1451681	5.764743	-2.2711008	2.2781672	1.1451966	5.857242	-2.2330549	-3.8534584	0.06880813	13130.380692243576
9	0.046783626	0.21117507	1.0	0.0	0.1	0.29999998	1.0	0.0	43.75731	186.5	134999	1.2166305	0.9837144	4.8917427	-2.2956812	1.2166429	0.9836671	4.9100866	-2.2904432	-2.8624578	0.07505021	14792.475945711136
10	0.06051873	0.23844542	1.0	0.0	0.0	0.0	0.0	0.0	43.216137	110.6	149999	1.0263349	0.7719695	3.446935	-2.3071647	1.026318	0.77210283	3.4651983	-2.3432565	-2.069307	0.04658376	16442.646954536438
